,distance_km,tree,building,road,sky,inner_river_0,inner_area,inner_avenue_0,included,betweenness_centrality,east,south,west,north
distance_km,1.0,-0.03242900797200381,0.10450842035833353,-0.04650632979261483,-0.07789686256603487,-0.4762488130752455,-0.5615127080880977,-0.4549342443506018,-0.7208108992333848,-0.08729277137115463,0.06915049747764807,0.4436322003694576,-0.21429270841663337,-0.33938546383683427
tree,-0.03242900797200381,1.0,-0.6492834579415823,-0.03655476376726946,-0.008907681283699894,0.08134932998880963,0.034416051473789094,0.1806553760403967,0.1399063318879636,0.06151524257669564,0.07070567077982418,0.02955073432807308,-0.014627534120112766,-0.10210966467796624
building,0.10450842035833353,-0.6492834579415823,1.0,-0.5715226818732585,-0.4929417486849772,0.01714922439996222,-0.005784877908188267,-0.290576491173495,-0.10078029231931811,-0.04848545987899955,0.06314912755875683,0.0034053758235480336,-0.08910461603817248,0.008094278714678797
road,-0.04650632979261483,-0.03655476376726946,-0.5715226818732585,1.0,0.20484661082864986,-0.13789373736239507,-0.02073967268824609,0.21692484485766395,-0.025137965695893823,-0.0718900875342212,-0.16359972715194446,-0.011123227941346287,0.17840989431191503,0.03321912643090906
sky,-0.07789686256603487,-0.008907681283699894,-0.4929417486849772,0.20484661082864986,1.0,0.051981406837116516,-0.05635469072275063,0.08105807609215636,0.07265740018291536,0.05214301772628914,-0.01778766018176181,0.03592381678545983,-0.07147235771795898,0.054201090393218125
inner_river_0,-0.4762488130752455,0.08134932998880963,0.01714922439996222,-0.13789373736239507,0.051981406837116516,1.0,0.6594836224732108,-0.03450574587869455,0.8174487358910384,-0.0036023982930027667,0.6178118344086038,-0.4815136037926984,-0.16656247952354855,-0.0745854543229389
inner_area,-0.5615127080880977,0.034416051473789094,-0.005784877908188267,-0.02073967268824609,-0.05635469072275063,0.6594836224732108,1.0,0.18621329468395537,0.712881674520327,0.019177051524723814,0.2833407648711424,-0.5224667369672753,0.06797972177465905,0.14106680304374195
inner_avenue_0,-0.4549342443506018,0.1806553760403967,-0.290576491173495,0.21692484485766395,0.08105807609215636,-0.03450574587869455,0.18621329468395537,1.0,0.2470701842232169,0.07282422601013029,-0.37505854874526595,0.003238327834059944,0.5104497641617357,-0.05426939365087323
included,-0.7208108992333848,0.1399063318879636,-0.10078029231931811,-0.025137965695893823,0.07265740018291536,0.8174487358910384,0.712881674520327,0.2470701842232169,1.0,0.05894912484613358,0.36477398108777837,-0.39015254128550675,-0.08660509522727972,0.05590067231145931
betweenness_centrality,-0.08729277137115463,0.06151524257669564,-0.04848545987899955,-0.0718900875342212,0.05214301772628914,-0.0036023982930027667,0.019177051524723814,0.07282422601013029,0.05894912484613358,1.0,-0.2140820263343163,0.14503497425095113,0.11161512658905813,-0.0008384909785244864
east,0.06915049747764807,0.07070567077982418,0.06314912755875683,-0.16359972715194446,-0.01778766018176181,0.6178118344086038,0.2833407648711424,-0.37505854874526595,0.36477398108777837,-0.2140820263343163,1.0,-0.3108545742954913,-0.6201890228050895,-0.2682468762857472
south,0.4436322003694576,0.02955073432807308,0.0034053758235480336,-0.011123227941346287,0.03592381678545983,-0.4815136037926984,-0.5224667369672753,0.003238327834059944,-0.39015254128550675,0.14503497425095113,-0.3108545742954913,1.0,-0.13145950512024276,-0.5482868501470101
west,-0.21429270841663337,-0.014627534120112766,-0.08910461603817248,0.17840989431191503,-0.07147235771795898,-0.16656247952354855,0.06797972177465905,0.5104497641617357,-0.08660509522727972,0.11161512658905813,-0.6201890228050895,-0.13145950512024276,1.0,-0.09953582903979241
north,-0.33938546383683427,-0.10210966467796624,0.008094278714678797,0.03321912643090906,0.054201090393218125,-0.0745854543229389,0.14106680304374195,-0.05426939365087323,0.05590067231145931,-0.0008384909785244864,-0.2682468762857472,-0.5482868501470101,-0.09953582903979241,1.0
